Brand,Model,LINK,Style,Width MM,RETAIL EU,RETAIL US
Simcore,OMP SBT,"<a target=""_blank"" href=""https://simcore.com.au/omp-sbt/&amp,sa=D&amp,source=editors&amp,ust=1622247458085000&amp,usg=AFQjCNF1-GNce_9RbDa9jL8drv7FA3vbNA"">OMP SBT GT / GTE style sim racing wireless steering wheel (simcore.com.au)</a>",GT no screen,,,$950.00
Cube Controls,FORMULA PRO ELITE,"<a target=""_blank"" href=""https://cubecontrols.com/product/formula-pro-classic/&amp,sa=D&amp,source=editors&amp,ust=1622247458085000&amp,usg=AFQjCNHGUY44bFr2jzCHQdxMAoQgzcn3GQ"">Cube Controls / Formula Pro Steering wheel</a>",Formula no screen,280,778,$925.82
Simcore,P310W-USB,"<a target=""_blank"" href=""https://simcore.com.au/p310w-usb/&amp,sa=D&amp,source=editors&amp,ust=1622247458085000&amp,usg=AFQjCNGfeLNEXONIadMY2bvr2W59WvdYtg"">P310W-USB sim racing wired steering wheel (simcore.com.au)</a>",GT no screen,310,,$895.00
Gomez,GXL PRO,"<a target=""_blank"" href=""https://gomezsimindustries.com/shop/p/gxl-pro&amp,sa=D&amp,source=editors&amp,ust=1622247458086000&amp,usg=AFQjCNEzw_TT46LnSDyanYgj8Q67xVYBzA"">GXL Pro — Gomez Sim Industries</a>",Formula no screen,310,,$875.00
Cube Controls,GT PRO MOMO,"<a target=""_blank"" href=""https://cubecontrols.com/product/gt-pro-momo-classic/&amp,sa=D&amp,source=editors&amp,ust=1622247458086000&amp,usg=AFQjCNEWwrStl058GIUW-zrPl9eGyqZPZw"">GT MOMO Steering Wheels / Cube Controls Steering Wheels</a>",GT no screen,320,702,$835.38
Cube Controls,GT PRO SPARCO,"<a target=""_blank"" href=""https://cubecontrols.com/product/gt-pro-sparco-classic/&amp,sa=D&amp,source=editors&amp,ust=1622247458086000&amp,usg=AFQjCNFbXgrU9KWmLyw28PqEDsaRUpJceg"">GT Sparco Steering Wheels / Cube Controls / Sim Racing</a>",GT no screen,310,695,$827.05
Cube Controls,GT PRO OMP,"<a target=""_blank"" href=""https://cubecontrols.com/product/gt-pro-omp-classic/&amp,sa=D&amp,source=editors&amp,ust=1622247458086000&amp,usg=AFQjCNGJVvGlo352_U0RlKQ_PlpH9x3LyQ"">GT OMP Steering Wheel / Sim Racing Controllers / Cube Controls</a>",GT no screen,320,687,$817.53
Turn Racing & Ascher Racing,R20 WHEEL & B16LUSB BASE,"<a target=""_blank"" href=""https://www.turnracing.com/products/turn-r20-steering-wheel&amp,sa=D&amp,source=editors&amp,ust=1622247458087000&amp,usg=AFQjCNFT6m-Zf_tsPSROWv-3CFeRE1coSw"">Turn R20 Evo Sim Racing Wheel - Turn Racing</a>",Formula no screen,300,"<a target=""_blank"" href=""https://www.ascher-racing.com/shop/b16l-usb/&amp,sa=D&amp,source=editors&amp,ust=1622247458087000&amp,usg=AFQjCNHTmdalFDeTPNy8--HCVyLponxXAQ"">B16L-USB – Ascher Racing (ascher-racing.com)</a>",$785.00
Cube Controls,GT PRO ZERO,"<a target=""_blank"" href=""https://cubecontrols.com/product/gt-pro-zero/&amp,sa=D&amp,source=editors&amp,ust=1622247458087000&amp,usg=AFQjCNGpSgtP95PBE3g9yMf9aH8m-LNsOA"">GT Pro ZERO Steering Wheels. Cube Controls</a>",Formula no screen,,655,$779.45
Cube Controls,GT SPORT,"<a target=""_blank"" href=""https://cubecontrols.com/product/gt-sport/&amp,sa=D&amp,source=editors&amp,ust=1622247458087000&amp,usg=AFQjCNFIHqKjrGSdxVzLwFCU0w4sb30GXQ"">GT Sport / Cube Controls Steering Wheels / For Sim Racers</a>",GT no screen,320,655,$779.45
JacobeR Sim Racing,Audi R8 GT3,"<a target=""_blank"" href=""https://www.facebook.com/commerce/products/2299751720150694/&amp,sa=D&amp,source=editors&amp,ust=1622247458087000&amp,usg=AFQjCNGh5v5ug4kWG17tydkbX-mRUGayew"">(20+) Huracan GT3 / R8 LMS / Facebook</a>",GT no screen,300,650,$773.50
Cube Controls,GT PRO CUBE,"<a target=""_blank"" href=""https://cubecontrols.com/product/gt-pro-cube/&amp,sa=D&amp,source=editors&amp,ust=1622247458088000&amp,usg=AFQjCNGR7SXCDk50AdAkpURgk5uk8k07gw"">GT Pro Cube Steering Wheels. Cube Controls</a>",GT no screen,320,640,$761.60
